INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210115-PYM-349', 97.50, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-01-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210115-BKG-293884', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240211-PYM-111', 2100.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-02-11 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240211-BKG-745963', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240310-PYM-432', 5120.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-03-10 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240310-BKG-983726', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230403-PYM-133', 1893.82, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-04-03 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230403-BKG-385674', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240408-PYM-526', 725.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-04-08 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240408-BKG-938172', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230527-PYM-941', 718.25, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-05-27 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230527-BKG-162738', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230711-PYM-386', 186.55, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-07-11 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230711-BKG-982316', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240712-PYM-679', 650.00, 'CreditCard', 'Refunded', TO_TIMESTAMP('2024-07-12 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240712-BKG-283567', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230809-PYM-481', 1383.82, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-08-09 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230809-BKG-128763', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240818-PYM-129', 4960.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-08-18 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240818-BKG-129487', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240809-PYM-268', 2400.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-08-09 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240809-BKG-173284', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230914-PYM-506', 2138.91, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-14 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230914-BKG-283174', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230515-PYM-497', 430.18, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-05-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230515-BKG-823749', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230527-PYM-567', 414.82, 'CreditCard', 'Refunded', TO_TIMESTAMP('2023-05-27 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230527-BKG-537891', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230911-PYM-430', 1541.27, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-11 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230911-BKG-845172', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240215-PYM-651', 4800.00, 'CreditCard', 'Refunded', TO_TIMESTAMP('2024-02-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240215-BKG-173284', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240318-PYM-190', 2325.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-03-18 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240318-BKG-728394', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230819-PYM-188', 400.29, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-08-19 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230819-BKG-329845', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230915-PYM-323', 1069.45, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230915-BKG-134879', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240215-PYM-951', 2175.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-02-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240215-BKG-745927', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230921-PYM-402', 825.68, 'CreditCard', 'Refunded', TO_TIMESTAMP('2023-09-21 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230921-BKG-987541', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230907-PYM-446', 2327.64, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-07 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230907-BKG-543189', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240301-PYM-127', 5120.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-03-01 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240301-BKG-194738', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230623-PYM-689', 718.64, 'CreditCard', 'Refunded', TO_TIMESTAMP('2023-06-23 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230623-BKG-543287', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240518-PYM-714', 2250.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-05-18 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240518-BKG-239487', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230510-PYM-326', 1192.60, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-05-10 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230510-BKG-238497', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240612-PYM-921', 925.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-06-12 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240612-BKG-473819', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230916-PYM-174', 1651.36, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-16 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230916-BKG-182763', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240220-PYM-352', 1575.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-02-20 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240220-BKG-647391', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230725-PYM-109', 348.22, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-07-25 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230725-BKG-293471', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230816-PYM-255', 750.55, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-08-16 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230816-BKG-937614', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240408-PYM-387', 4320.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-04-08 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240408-BKG-238471', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230527-PYM-930', 464.75, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-05-27 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230527-BKG-273849', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240511-PYM-775', 2175.00, 'CreditCard', 'Refunded', TO_TIMESTAMP('2024-05-11 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240511-BKG-174839', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230628-PYM-521', 1367.73, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-06-28 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230628-BKG-485631', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240703-PYM-519', 5120.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-07-03 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240703-BKG-839274', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230822-PYM-327', 598.09, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-08-22 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230822-BKG-273850', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240815-PYM-154', 2625.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-08-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240815-BKG-492836', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230920-PYM-603', 1824.36, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-20 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230920-BKG-587123', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240416-PYM-493', 4800.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-04-16 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240416-BKG-948120', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230915-PYM-413', 707.73, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230915-BKG-923847', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240510-PYM-681', 2325.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-05-10 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240510-BKG-192837', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230819-PYM-334', 304.91, 'CreditCard', 'Refunded', TO_TIMESTAMP('2023-08-19 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230819-BKG-192874', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240715-PYM-259', 675.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-07-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240715-BKG-293874', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230921-PYM-275', 344.03, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-21 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230921-BKG-394752', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240508-PYM-667', 4960.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-05-08 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240508-BKG-182736', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230526-PYM-475', 823.49, 'CreditCard', 'Refunded', TO_TIMESTAMP('2023-05-26 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230526-BKG-647583', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240610-PYM-947', 1575.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-06-10 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240610-BKG-273845', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230726-PYM-542', 746.18, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-07-26 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230726-BKG-273846', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240716-PYM-332', 2775.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-07-16 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240716-BKG-938745', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230825-PYM-109', 332.27, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-08-25 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230825-BKG-293874', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240611-PYM-471', 2325.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-06-11 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240611-BKG-937584', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230527-PYM-593', 483.95, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-05-27 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230527-BKG-293847', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240701-PYM-319', 2250.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-07-01 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240701-BKG-394718', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230819-PYM-690', 615.68, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-08-19 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230819-BKG-293849', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240815-PYM-596', 925.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-08-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240815-BKG-847392', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230917-PYM-952', 1132.36, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-09-17 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230917-BKG-647295', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240501-PYM-797', 2325.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-05-01 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240501-BKG-273846', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230712-PYM-324', 153.90, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-07-12 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230712-BKG-123498', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240613-PYM-136', 3250.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-06-13 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240613-BKG-394817', NULL);
