INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART6693', 'MAINT9865', TO_TIMESTAMP('2024-09-02 21:57:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF8879');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4232', 'PART8028', 'MAINT6327', TO_TIMESTAMP('2023-06-13 19:32:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF9076');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5414', 'PART5278', 'MAINT2052', TO_TIMESTAMP('2023-07-14 04:29:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF1990');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART6693', 'MAINT8001', TO_TIMESTAMP('2023-11-10 03:16:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF4958');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4232', 'PART8142', 'MAINT9041', TO_TIMESTAMP('2023-09-02 18:43:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF2444');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5009', 'PART7356', 'MAINT2601', TO_TIMESTAMP('2023-09-20 07:02:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4232', 'PART7760', 'MAINT2601', TO_TIMESTAMP('2023-02-11 01:12:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART8142', 'MAINT3451', TO_TIMESTAMP('2023-06-21 23:17:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF5332');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART7356', 'MAINT5090', TO_TIMESTAMP('2023-10-27 13:34:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF4958');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE0507', 'PART2388', 'MAINT9041', TO_TIMESTAMP('2023-02-19 09:57:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF2023');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE6107', 'PART5353', 'MAINT9838', TO_TIMESTAMP('2024-03-02 18:24:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE1899', 'PART9261', 'MAINT5965', TO_TIMESTAMP('2023-01-22 13:51:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF7714');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART6693', 'MAINT4336', TO_TIMESTAMP('2023-07-22 00:29:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF4873');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART8142', 'MAINT4336', TO_TIMESTAMP('2023-04-16 21:04:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF9076');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5647', 'PART6178', 'MAINT8168', TO_TIMESTAMP('2023-05-08 01:57:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF0799');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9798', 'PART8028', 'MAINT9838', TO_TIMESTAMP('2023-08-12 19:59:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5414', 'PART7760', 'MAINT9669', TO_TIMESTAMP('2024-12-06 07:12:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF6201');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8647', 'PART6178', 'MAINT5090', TO_TIMESTAMP('2023-12-14 15:19:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF9076');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4587', 'PART5742', 'MAINT0650', TO_TIMESTAMP('2023-10-18 12:01:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF4370');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART6046', 'MAINT0650', TO_TIMESTAMP('2024-12-01 23:27:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF9076');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE0507', 'PART8142', 'MAINT3451', TO_TIMESTAMP('2023-01-01 07:40:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF0360');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5403', 'PART1284', 'MAINT5090', TO_TIMESTAMP('2023-01-14 20:13:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF4958');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4587', 'PART5278', 'MAINT8001', TO_TIMESTAMP('2024-03-07 15:32:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF4873');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART0369', 'MAINT4099', TO_TIMESTAMP('2024-09-03 19:35:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF8879');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART6178', 'MAINT5965', TO_TIMESTAMP('2023-09-12 09:50:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF4370');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2785', 'PART8142', 'MAINT2422', TO_TIMESTAMP('2024-07-07 09:36:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF6913');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE0507', 'PART7356', 'MAINT9865', TO_TIMESTAMP('2024-03-23 08:48:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8647', 'PART8142', 'MAINT2422', TO_TIMESTAMP('2024-09-29 16:26:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF2303');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5647', 'PART1284', 'MAINT9865', TO_TIMESTAMP('2024-02-20 08:33:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF2023');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5403', 'PART2388', 'MAINT8001', TO_TIMESTAMP('2023-07-30 16:21:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF2444');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE0507', 'PART8028', 'MAINT8001', TO_TIMESTAMP('2024-08-07 11:30:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4387', 'PART5353', 'MAINT5965', TO_TIMESTAMP('2023-09-29 10:56:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF6201');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9487', 'PART2388', 'MAINT8001', TO_TIMESTAMP('2024-07-03 22:48:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF3507');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5414', 'PART7136', 'MAINT8168', TO_TIMESTAMP('2024-03-28 10:06:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF3971');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9798', 'PART6693', 'MAINT3451', TO_TIMESTAMP('2024-03-06 22:28:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF3507');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4387', 'PART6288', 'MAINT9669', TO_TIMESTAMP('2024-04-08 10:10:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF1990');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE7258', 'PART1284', 'MAINT2601', TO_TIMESTAMP('2024-01-09 19:52:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF0799');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4387', 'PART2388', 'MAINT8001', TO_TIMESTAMP('2024-11-02 18:38:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF5332');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5009', 'PART7760', 'MAINT8168', TO_TIMESTAMP('2024-11-13 02:07:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF0360');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART6046', 'MAINT9838', TO_TIMESTAMP('2024-05-07 00:05:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF3741');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5009', 'PART0876', 'MAINT2601', TO_TIMESTAMP('2024-05-25 21:20:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF4873');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE7258', 'PART8142', 'MAINT0650', TO_TIMESTAMP('2023-12-19 14:07:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF4873');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4587', 'PART0369', 'MAINT2052', TO_TIMESTAMP('2023-06-27 05:04:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF6201');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART6062', 'MAINT8168', TO_TIMESTAMP('2024-09-23 14:27:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF4958');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8647', 'PART8142', 'MAINT2052', TO_TIMESTAMP('2023-11-06 12:59:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF1990');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5647', 'PART9146', 'MAINT8001', TO_TIMESTAMP('2023-02-25 15:36:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF3741');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE0507', 'PART7760', 'MAINT4336', TO_TIMESTAMP('2023-03-12 07:42:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF5332');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9612', 'PART5278', 'MAINT0650', TO_TIMESTAMP('2023-06-06 20:59:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF4370');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE3860', 'PART6288', 'MAINT4099', TO_TIMESTAMP('2023-06-19 08:39:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF0799');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4587', 'PART7760', 'MAINT8488', TO_TIMESTAMP('2023-04-16 15:15:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF4873');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE7258', 'PART6178', 'MAINT8001', TO_TIMESTAMP('2023-08-15 22:12:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF3741');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART6693', 'MAINT8168', TO_TIMESTAMP('2024-08-11 17:41:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE0507', 'PART9261', 'MAINT1004', TO_TIMESTAMP('2024-07-17 21:20:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF3507');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4387', 'PART6178', 'MAINT9669', TO_TIMESTAMP('2023-03-11 10:15:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF4873');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9612', 'PART5742', 'MAINT5090', TO_TIMESTAMP('2023-03-18 06:54:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF0799');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9612', 'PART7356', 'MAINT5090', TO_TIMESTAMP('2023-03-02 05:20:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF2303');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE6107', 'PART9261', 'MAINT9865', TO_TIMESTAMP('2024-02-01 21:46:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF2023');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8647', 'PART7760', 'MAINT4099', TO_TIMESTAMP('2023-05-28 00:07:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF2303');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4587', 'PART8142', 'MAINT2422', TO_TIMESTAMP('2023-08-28 07:56:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5009', 'PART1284', 'MAINT0650', TO_TIMESTAMP('2024-03-26 15:47:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '3', 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5414', 'PART0876', 'MAINT3451', TO_TIMESTAMP('2024-01-08 03:07:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF3741');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5403', 'PART0876', 'MAINT0650', TO_TIMESTAMP('2023-12-14 08:18:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5414', 'PART5980', 'MAINT5090', TO_TIMESTAMP('2023-06-15 09:50:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF3971');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9798', 'PART9146', 'MAINT8488', TO_TIMESTAMP('2024-04-08 22:28:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5647', 'PART7760', 'MAINT2422', TO_TIMESTAMP('2024-05-15 04:29:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF2303');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART5980', 'MAINT5965', TO_TIMESTAMP('2023-05-01 14:08:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5647', 'PART7136', 'MAINT4099', TO_TIMESTAMP('2024-12-07 13:56:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE1899', 'PART6046', 'MAINT5362', TO_TIMESTAMP('2024-09-09 07:50:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF6201');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9612', 'PART5980', 'MAINT8001', TO_TIMESTAMP('2023-08-08 13:47:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF2444');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8647', 'PART5353', 'MAINT2601', TO_TIMESTAMP('2024-12-28 12:15:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4587', 'PART6693', 'MAINT5362', TO_TIMESTAMP('2024-10-02 08:44:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF3741');
