INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA001', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA008', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA009', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA009', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA009', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA009', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA009', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA009', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA010', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA010', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA010', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA010', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA010', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA010', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA010', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA011', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA011', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA011', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA011', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA011', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA011', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA011', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA012', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA012', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA012', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA012', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA012', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA012', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA013', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA013', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA013', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA013', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA013', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA013', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA013', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA014', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA014', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA014', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA014', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA014', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA015', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA015', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA015', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA015', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA015', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA016', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA016', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA016', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA016', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA016', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA016', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA017', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA017', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA017', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA017', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA017', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA017', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA017', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA018', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA018', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA018', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA018', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA018', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA018', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA019', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA019', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA019', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA019', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA019', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA019', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA020', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA020', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA020', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA020', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA020', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA020', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA021', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA021', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA021', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA021', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA021', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA021', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA022', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA022', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA022', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA022', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA022', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA022', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA022', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA023', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA023', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA023', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA023', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA023', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA023', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA023', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA024', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA024', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA024', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA024', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA024', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA024', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA024', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA025', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA025', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA025', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA025', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA025', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA026', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA026', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA026', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA026', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA026', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA027', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA027', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA027', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA027', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA027', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA027', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA028', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA028', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA028', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA028', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA028', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA028', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA028', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA029', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA029', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA029', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA029', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA029', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA030', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA031', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA031', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA031', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA031', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA031', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA031', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA032', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA032', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA032', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA032', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA032', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA032', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA033', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA033', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA033', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA033', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA033', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA033', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA034', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA035', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA035', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA035', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA035', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA035', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA035', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA035', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA036', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA036', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA036', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA036', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA036', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA036', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA036', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA037', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA037', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA037', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA037', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA037', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA037', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA038', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA038', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA038', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA038', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA038', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA039', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA039', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA039', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA039', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA039', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA040', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA040', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA040', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA040', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA040', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA041', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA041', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA041', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA041', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA041', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA041', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA041', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA042', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA042', 'STF0799', 'Flight Attendant');
