-- Record 1
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-001', 'ITM9617', 2);
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-018', 'ITM8285', 1);

-- Record 19
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220105-PCH-019', 'ITM9634', 3);

-- Record 20
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-020', 'ITM0258', 2);

-- Record 21
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-021', 'ITM1140', 2);

-- Record 22
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220212-PCH-022', 'ITM9634', 1);

-- Record 23
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220212-PCH-023', 'ITM9617', 1);

-- Record 24
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-024', 'ITM3249', 1);

-- Record 25
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20231005-PCH-025', 'ITM6901', 1);

-- Record 26
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20221222-PCH-026', 'ITM2857', 2);

-- Record 27
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-027', 'ITM7969', 3);

-- Record 28
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-028', 'ITM9634', 1);

-- Record 29
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-029', 'ITM9617', 1);

-- Record 30
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-030', 'ITM8285', 2);

-- Record 31
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-031', 'ITM0258', 3);

-- Record 32
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220810-PCH-032', 'ITM1140', 1);

-- Record 33
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-033', 'ITM6901', 1);

-- Record 34
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220105-PCH-034', 'ITM2857', 2);

-- Record 35
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-035', 'ITM7969', 1);

-- Record 36
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-036', 'ITM9634', 2);

-- Record 37
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-037', 'ITM9617', 1);

-- Record 38
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-038', 'ITM8285', 3);

-- Record 39
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-039', 'ITM0258', 1);

-- Record 40
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220810-PCH-040', 'ITM0000', 4);

-- Record 41
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-041', 'ITM5007', 1);

-- Record 42
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-042', 'ITM9634', 1);

-- Record 43
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-043', 'ITM1140', 2);

-- Record 44
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-044', 'ITM6901', 1);

-- Record 45
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-045', 'ITM8285', 1);

-- Record 46
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-046', 'ITM0000', 3);

-- Record 47
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-047', 'ITM2857', 2);

-- Record 48
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-048', 'ITM0258', 3);

-- Record 49
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-049', 'ITM9617', 2);

-- Record 50
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-050', 'ITM5007', 1);

-- Record 51
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-051', 'ITM9634', 1);

-- Record 52
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-052', 'ITM3249', 2);

-- Record 53
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-053', 'ITM1140', 3);

-- Record 54
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-054', 'ITM6901', 1);

-- Record 55
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-055', 'ITM2857', 2);

-- Record 56
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-056', 'ITM9634', 2);

-- Record 57
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-057', 'ITM9617', 1);

-- Record 58
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-058', 'ITM8285', 1);

-- Record 59
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-059', 'ITM0258', 2);

-- Record 60
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-060', 'ITM5007', 1);

-- Record 61
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-061', 'ITM9634', 1);

-- Record 62
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20251101-PCH-062', 'ITM1140', 2);

-- Record 63
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-063', 'ITM6901', 3);

-- Record 64
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-064', 'ITM2857', 1);

-- Record 65
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-065', 'ITM3249', 1);

-- Record 66
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-066', 'ITM9617', 1);

-- Record 67
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-067', 'ITM9634', 2);

-- Record 68
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-068', 'ITM6901', 2);

-- Record 69
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-069', 'ITM5007', 1);

-- Record 70
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-070', 'ITM9634', 2);

-- Record 71
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-071', 'ITM9617', 1);

-- Record 72
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-072', 'ITM8285', 1);

-- Record 73
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20251101-PCH-073', 'ITM1140', 3);

-- Record 74
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-074', 'ITM2857', 1);

-- Record 75
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-075', 'ITM3249', 1);

-- Record 76
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230301-PCH-076', 'ITM9617', 2);

-- Record 77
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230301-PCH-077', 'ITM9634', 1);

-- Record 78
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-078', 'ITM6901', 1);

-- Record 79
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-079', 'ITM8285', 2);

-- Record 80
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-080', 'ITM1140', 3);

-- Record 81
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-081', 'ITM6901', 1);

-- Record 82
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20221010-PCH-082', 'ITM2857', 1);

-- Record 83
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20221010-PCH-083', 'ITM3249', 2);

-- Record 84
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220105-PCH-084', 'ITM9617', 2);

-- Record 85
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220105-PCH-085', 'ITM9634', 1);

-- Record 86
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-086', 'ITM0000', 1);

-- Record 87
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220810-PCH-087', 'ITM6901', 2);

-- Record 88
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220810-PCH-088', 'ITM8285', 1);

-- Record 89
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-089', 'ITM1140', 3);

-- Record 90
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-090', 'ITM6901', 1);

-- Record 91
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-091', 'ITM9634', 1);

-- Record 92
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-092', 'ITM3249', 2);

-- Record 93
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220212-PCH-093', 'ITM2857', 2);

-- Record 94
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220212-PCH-094', 'ITM9634', 1);

-- Record 95
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-095', 'ITM1140', 1);

-- Record 96
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-096', 'ITM6901', 3);

-- Record 97
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-097', 'ITM8285', 1);

-- Record 98
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-098', 'ITM0000', 2);

-- Record 99
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-099', 'ITM3249', 2);

-- Record 100
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-100', 'ITM9634', 1);

-- Record 101
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-101', 'ITM9617', 2);

-- Record 102
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-102', 'ITM9634', 1);

-- Record 103
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-103', 'ITM1140', 1);

-- Record 104
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-104', 'ITM2857', 3);

-- Record 105
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-105', 'ITM6901', 1);

-- Record 106
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-106', 'ITM0000', 1);

-- Record 107
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-107', 'ITM8285', 1);

-- Record 108
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-108', 'ITM5007', 2);

-- Record 109
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-109', 'ITM9634', 2);

-- Record 110
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-110', 'ITM6901', 1);

-- Record 111
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211115-PCH-111', 'ITM1140', 1);

-- Record 112
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211115-PCH-112', 'ITM9634', 3);

-- Record 113
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211115-PCH-113', 'ITM8285', 2);

-- Record 114
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211115-PCH-114', 'ITM0000', 2);

-- Record 115
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-115', 'ITM9617', 1);

-- Record 116
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-116', 'ITM6901', 2);

-- Record 117
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-117', 'ITM9634', 1);

-- Record 118
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-118', 'ITM1140', 2);

-- Record 119
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-119', 'ITM8285', 1);

-- Record 120
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-120', 'ITM5007', 3);

-- Record 121
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-041', 'ITM9634', 2);

-- Record 122
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-042', 'ITM1140', 1);

-- Record 123
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-043', 'ITM6901', 2);

-- Record 124
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-044', 'ITM2857', 1);

-- Record 125
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-045', 'ITM9617', 2);

-- Record 126
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-046', 'ITM9634', 1);

-- Record 127
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-047', 'ITM0000', 3);

-- Record 128
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-048', 'ITM8285', 1);

-- Record 129
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-049', 'ITM1140', 2);

-- Record 130
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-050', 'ITM6901', 3);

-- Record 131
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-051', 'ITM6901', 2);

-- Record 132
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-052', 'ITM5007', 1);

-- Record 133
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-053', 'ITM2857', 1);

-- Record 134
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-054', 'ITM9617', 2);

-- Record 135
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-055', 'ITM6901', 1);

-- Record 136
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-056', 'ITM6901', 1);

-- Record 137
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-057', 'ITM8285', 1);

-- Record 138
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-058', 'ITM1140', 2);

-- Record 139
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-059', 'ITM6901', 2);

-- Record 140
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-060', 'ITM9634', 1);

-- Record 141
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-061', 'ITM2857', 3);

-- Record 142
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20251101-PCH-062', 'ITM9617', 1);

-- Record 143
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-063', 'ITM9617', 2);

-- Record 144
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-064', 'ITM9634', 1);

-- Record 145
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-065', 'ITM8285', 2);

-- Record 146
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-066', 'ITM1140', 3);

-- Record 147
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-067', 'ITM6901', 1);

-- Record 148
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-068', 'ITM9634', 1);

-- Record 149
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-069', 'ITM2857', 2);

-- Record 150
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-070', 'ITM9617', 2);

-- Record 151
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-071', 'ITM6901', 1);

-- Record 152
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-072', 'ITM9634', 3);

-- Record 153
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20251101-PCH-073', 'ITM5007', 2);

-- Record 154
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-074', 'ITM5007', 1);

-- Record 155
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-075', 'ITM8285', 2);

-- Record 156
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230301-PCH-076', 'ITM1140', 1);

-- Record 157
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230301-PCH-077', 'ITM6901', 2);

-- Record 158
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-078', 'ITM9634', 1);

-- Record 159
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-079', 'ITM2857', 3);

-- Record 160
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-080', 'ITM6901', 1);

-- Record 161
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-081', 'ITM9634', 1);

-- Record 162
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20221010-PCH-082', 'ITM5007', 2);

-- Record 163
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20221010-PCH-083', 'ITM2857', 2);

-- Record 164
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220105-PCH-084', 'ITM2857', 1);

-- Record 165
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220105-PCH-085', 'ITM0000', 3);

-- Record 166
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-086', 'ITM8285', 1);

-- Record 167
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220810-PCH-087', 'ITM8285', 2);

-- Record 168
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220810-PCH-088', 'ITM9634', 1);

-- Record 169
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-089', 'ITM8285', 2);

-- Record 170
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-090', 'ITM8285', 1);

-- Record 171
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-091', 'ITM8285', 2);

-- Record 172
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220410-PCH-092', 'ITM2857', 3);

-- Record 173
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220212-PCH-093', 'ITM6901', 1);

-- Record 174
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220212-PCH-094', 'ITM6901', 2);

-- Record 175
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-095', 'ITM8285', 2);

-- Record 176
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-096', 'ITM1140', 1);

-- Record 177
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-097', 'ITM6901', 2);

-- Record 178
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-098', 'ITM9634', 3);

-- Record 179
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-099', 'ITM2857', 1);

-- Record 180
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-100', 'ITM5007', 1);

-- Record 181
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-101', 'ITM8285', 1);

-- Record 182
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211210-PCH-102', 'ITM9617', 2);

-- Record 183
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-103', 'ITM6901', 3);

-- Record 184
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220518-PCH-104', 'ITM9634', 2);

-- Record 185
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-105', 'ITM2857', 2);

-- Record 186
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-106', 'ITM5007', 3);

-- Record 187
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-107', 'ITM6901', 1);

-- Record 188
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230815-PCH-108', 'ITM9634', 2);

-- Record 189
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-109', 'ITM2857', 1);

-- Record 190
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211021-PCH-110', 'ITM9617', 3);

-- Record 191
